"Matière","Type"
"Arts.plastiques","Option"
"Arts.Plastiques.Spécialité","Spécialité"
"Cinéma.Audiovisuel","Option"
"Discipline.Non.Linguistique..DNL.","Tronc commun"
"Education.Physique.et.Sportive","Tronc commun"
"Education.Physique.et.Sportive..facultatif.","Option"
"Enseignement.moral.et.civique","Tronc commun"
"Enseignement.scientifique","Tronc commun"
"Histoire.Géographie","Tronc commun"
"Histoire.Géographie..Géopolitique.et.Science.politiques","Spécialité"
"Histoire.Géographie.en.langue.de.section","Tronc commun"
"Humanités..Littérature.et.Philosophie","Spécialité"
"Langue.et.littérature.étrangère.en.langue.de.section","Tronc commun"
"Langue.vivante.A","Tronc commun"
"Langue.vivante.B","Tronc commun"
"Langue.vivante.C","Option"
"Langues..littératures.et.cultures.étrangères.et.régionales","Spécialité"
"Langues.et.cultures.de.l.antiquité...Grec","Option"
"Langues.et.cultures.de.l.antiquité...Latin","Option"
"Mathématiques.Complémentaires","Option"
"Mathématiques.Expertes","Option"
"Mathématiques.Spécialité","Spécialité"
"Numérique.et.Sciences.Informatiques","Spécialité"
"Philosophie","Tronc commun"
"Physique.Chimie.Spécialité","Spécialité"
"Sciences.de.l.ingénieur.et.sciences.physiques","Spécialité"
"Sciences.de.la.vie.et.de.la.Terre.Spécialité","Spécialité"
"Sciences.Economiques.et.Sociales.Spécialité","Spécialité"
"Théâtre.Expression.dramatique.Spécialité","Spécialité"
"Français","Tronc commun"
"Sciences.de.l.ingénieur","Spécialité"
"Musique","Option"
"langue.de.section","Tronc commun"
"Histoire.des.arts","Spécialité"
"Droits.et.Grands.Enjeux.du.monde.Contemporain.faculatif","Option"
"Agronomie.Economie.Territoires","Option"
"Biologie.Ecologie","Spécialité"
"Littérature.et.langues.et.cultures.de.l.Antiquité..Latin","Spécialité"
"Cinéma.Audiovisuel.Spécialité","Spécialité"
"Théâtre","Option"
"Musique.Spécialité","Spécialité"
